date,prot_ter,prot_terdum,prot_us,prot_usdum,jihad,tvideo,zarb,zarb,ghazwa,usefp,usaid,usimmi
16903,0,0,0,0,0,0,0,0,0,0,81,0
16904,0,0,0,0,0,0,0,0,0,0,0,0
16905,0,0,0,0,43,0,0,0,0,0,0,0
16906,0,0,0,0,0,0,0,0,0,0,0,0
16907,0,0,0,0,56,0,0,0,0,0,0,0
16908,0,0,0,0,0,0,0,0,0,0,78,0
16909,0,0,0,0,0,0,0,0,0,0,0,0
16910,0,0,0,0,0,0,0,0,0,0,0,0
16911,0,0,0,0,0,0,0,0,0,0,0,92
16912,0,0,0,0,0,0,0,0,0,0,0,0
16913,0,0,0,0,0,0,0,0,0,0,0,0
16914,0,0,0,0,0,0,0,0,0,0,0,0
16915,0,0,0,0,37,0,0,0,0,0,0,0
16916,0,0,0,0,0,0,0,0,0,0,0,0
16917,0,0,0,0,0,0,0,0,0,0,0,0
16918,0,0,0,0,0,0,0,0,0,0,0,0
16919,0,0,0,0,0,0,0,0,0,0,0,0
16920,0,0,0,0,0,0,0,0,0,0,0,0
16921,0,0,0,0,0,0,0,0,0,0,0,0
16922,0,0,0,0,0,0,0,0,0,0,0,0
16923,0,0,0,0,38,0,0,0,0,0,75,0
16924,0,0,0,0,0,0,0,0,0,0,0,0
16925,0,0,0,0,0,0,0,0,0,0,0,0
16926,0,0,0,0,0,0,0,0,0,0,0,0
16927,0,0,0,0,41,0,0,0,0,0,0,0
16928,0,0,0,0,55,0,0,0,0,0,0,0
16929,0,0,0,0,0,0,0,0,0,0,0,0
16930,0,0,1,1,35,0,0,0,0,0,72,0
16931,0,0,0,0,0,0,0,0,0,0,0,0
16932,0,0,0,0,0,0,0,0,0,0,0,0
16933,0,0,0,0,0,0,0,0,0,0,0,0
16934,0,0,0,0,41,0,0,0,0,0,0,0
16935,0,0,0,0,58,0,0,0,0,0,0,0
16936,0,0,0,0,38,0,0,0,0,0,0,0
16937,0,0,1,1,0,0,0,0,0,0,0,0
16938,0,0,0,0,37,0,0,0,0,0,0,0
16939,0,0,0,0,0,0,0,0,0,0,0,0
16940,0,0,0,0,0,0,0,0,0,0,0,0
16941,0,0,0,0,0,0,0,0,0,0,0,0
16942,0,0,0,0,57,0,0,0,0,0,0,0
16943,0,0,0,0,0,0,0,0,0,0,0,0
16944,0,0,0,0,37,0,0,0,0,0,0,0
16945,0,0,0,0,0,0,0,0,0,0,73,0
16946,0,0,0,0,0,0,0,0,0,0,0,0
16947,0,0,0,0,0,0,0,0,0,0,0,0
16948,0,0,0,0,0,0,0,0,0,0,0,0
16949,0,0,0,0,0,0,0,0,0,0,0,0
16950,0,0,0,0,0,0,0,0,0,0,73,0
16951,0,0,0,0,0,0,0,0,0,0,0,0
16952,0,0,0,0,0,0,0,0,0,0,0,0
16953,1,1,0,0,0,0,0,0,0,0,0,0
16954,0,0,0,0,0,0,0,0,0,0,0,0
16955,0,0,0,0,44,0,0,0,0,0,0,0
16956,0,0,0,0,0,0,0,0,0,0,0,0
16957,0,0,0,0,0,0,0,0,0,0,74,0
16958,0,0,0,0,35,0,0,0,0,0,0,0
16959,0,0,0,0,0,0,0,0,0,100,0,0
16960,0,0,0,0,0,0,0,0,0,0,0,0
16961,0,0,0,0,0,0,0,0,0,0,0,0
16962,0,0,0,0,41,0,0,0,0,0,0,0
16963,0,0,0,0,0,0,0,0,0,0,0,0
16964,0,0,0,0,0,0,0,0,0,0,0,0
16965,0,0,0,0,0,0,0,0,0,0,0,0
16966,0,0,0,0,0,0,0,0,0,0,0,90
16967,0,0,0,0,0,0,0,0,0,0,0,0
16968,0,0,0,0,0,0,0,0,0,0,0,0
16969,0,0,0,0,0,0,0,0,0,0,0,0
16970,0,0,0,0,0,0,0,0,0,0,0,0
16971,0,0,0,0,0,0,0,0,0,0,0,0
16972,0,0,0,0,0,0,0,0,0,0,74,0
16973,0,0,0,0,0,0,0,0,0,0,0,0
16974,0,0,0,0,37,0,0,0,0,0,0,94
16975,0,0,0,0,0,0,0,0,0,0,0,0
16976,0,0,0,0,0,0,0,0,0,0,0,0
16977,0,0,0,0,0,0,0,0,0,0,0,0
16978,0,0,0,0,0,0,0,0,0,0,0,0
16979,0,0,0,0,0,0,0,0,0,0,0,0
16980,0,0,0,0,0,0,0,0,0,0,0,0
16981,0,0,0,0,0,0,0,0,0,0,0,0
16982,0,0,0,0,0,0,0,0,0,0,0,0
16983,0,0,0,0,0,0,0,0,0,0,0,0
16984,0,0,0,0,0,0,0,0,0,0,0,0
16985,0,0,0,0,0,0,0,0,0,0,0,0
16986,0,0,0,0,0,0,0,0,0,0,0,0
16987,0,0,0,0,0,0,0,0,0,0,0,0
16988,0,0,0,0,0,0,0,0,0,0,0,0
16989,0,0,0,0,0,0,0,0,0,0,0,0
16990,0,0,0,0,0,0,0,0,0,0,0,0
16991,0,0,0,0,0,0,0,0,0,0,0,0
16992,0,0,0,0,65,0,0,0,0,0,0,0
16993,0,0,0,0,0,0,0,0,0,0,0,0
16994,0,0,0,0,64,0,0,0,0,0,0,0
16995,0,0,0,0,62,0,0,0,0,0,0,0
16996,0,0,0,0,0,0,0,0,0,0,0,0
16997,0,0,0,0,0,0,0,0,0,0,0,0
16998,0,0,0,0,0,0,0,0,0,0,0,0
16999,0,0,0,0,0,0,0,0,0,0,84,0
17000,0,0,0,0,0,0,0,0,0,0,0,0
17001,0,0,0,0,0,0,0,0,0,0,0,0
17002,0,0,0,0,0,0,0,0,0,0,0,0
17003,0,0,8,1,0,0,0,0,0,0,0,0
17004,0,0,6,1,71,0,0,0,0,0,0,0
17005,0,0,0,0,0,0,0,0,0,0,0,0
17006,0,0,0,0,0,0,0,0,0,0,0,0
17007,0,0,0,0,0,0,0,0,0,0,0,0
17008,0,0,0,0,57,0,0,0,0,0,0,0
17009,0,0,0,0,0,0,0,0,0,0,0,0
17010,0,0,0,0,0,0,0,0,0,0,0,0
17011,0,0,0,0,0,0,0,0,0,0,0,0
17012,0,0,2,1,0,0,0,0,0,0,0,0
17013,0,0,0,0,0,0,0,0,0,0,0,0
17014,0,0,3,1,0,0,0,0,0,0,75,0
17015,0,0,0,0,57,0,0,0,0,0,0,0
17016,0,0,0,0,0,0,0,0,0,0,0,0
17017,0,0,0,0,0,0,0,0,0,0,0,0
17018,0,0,0,0,0,0,0,0,0,0,0,0
17019,0,0,0,0,0,0,0,0,0,0,0,0
17020,0,0,0,0,0,0,0,0,0,0,0,0
17021,0,0,0,0,0,0,0,0,0,0,0,0
17022,0,0,0,0,0,0,0,0,0,0,0,0
17023,0,0,0,0,0,0,0,0,0,0,0,0
17024,0,0,0,0,58,0,0,0,0,0,0,0
17025,0,0,0,0,0,0,0,0,0,0,0,0
17026,0,0,0,0,0,0,0,0,0,0,0,0
17027,0,0,0,0,0,0,0,0,0,0,0,0
17028,0,0,0,0,0,0,0,0,0,0,0,0
17029,0,0,0,0,58,0,0,0,0,0,74,0
17030,0,0,0,0,59,0,0,0,0,0,0,0
17031,0,0,0,0,0,0,0,0,0,0,0,0
17032,0,0,0,0,0,0,0,0,0,0,0,0
17033,0,0,0,0,0,0,0,0,0,0,0,0
17034,0,0,0,0,0,0,0,0,0,0,0,0
17035,0,0,0,0,53,0,0,0,0,0,0,0
17036,0,0,0,0,0,0,0,0,0,0,0,0
17037,0,0,0,0,0,0,0,0,0,0,0,0
17038,0,0,0,0,0,0,0,0,0,0,0,0
17039,0,0,0,0,0,0,0,0,0,0,0,0
17040,0,0,0,0,0,0,0,0,0,0,0,100
17041,0,0,0,0,0,0,0,0,0,0,0,0
17042,0,0,0,0,52,0,0,0,0,0,0,0
17043,0,0,0,0,0,0,0,0,0,91,74,0
17044,0,0,0,0,54,0,0,0,0,0,0,0
17045,0,0,0,0,0,0,0,0,0,0,0,0
17046,0,0,0,0,0,0,0,0,0,0,0,0
17047,0,0,0,0,0,0,0,0,0,0,0,0
17048,0,0,0,0,0,0,0,0,0,0,71,0
17049,0,0,0,0,0,0,0,0,0,0,0,0
17050,0,0,0,0,0,0,0,0,0,0,0,0
17051,0,0,0,0,0,0,0,0,0,0,0,0
